date,time,code,open,high,low,close,volume,amount,adjustflag
2024-09-13,20240913105500000,sh.600000,8.3800,8.4000,8.3800,8.4000,454500,3813752.0000,3
2024-09-13,20240913110000000,sh.600000,8.4000,8.4000,8.3800,8.3800,420700,3530232.0000,3
2024-09-13,20240913110500000,sh.600000,8.3800,8.3800,8.3500,8.3700,594700,4974776.0000,3
2024-09-13,20240913111000000,sh.600000,8.3600,8.3700,8.3500,8.3600,301900,2523632.0000,3
2024-09-13,20240913111500000,sh.600000,8.3600,8.3700,8.3500,8.3600,313800,2623480.0000,3
2024-09-13,20240913112000000,sh.600000,8.3500,8.3700,8.3500,8.3600,546900,4570968.0000,3
2024-09-13,20240913112500000,sh.600000,8.3600,8.3600,8.3500,8.3500,321100,2681816.0000,3
2024-09-13,20240913113000000,sh.600000,8.3500,8.3600,8.3400,8.3600,316500,2643664.0000,3
2024-09-13,20240913130500000,sh.600000,8.3600,8.3800,8.3600,8.3600,658100,5507376.0000,3
2024-09-13,20240913131000000,sh.600000,8.3600,8.4000,8.3600,8.3900,431000,3612800.0000,3
2024-09-13,20240913131500000,sh.600000,8.3900,8.4000,8.3800,8.3800,292000,2449344.0000,3
2024-09-13,20240913132000000,sh.600000,8.3900,8.4000,8.3800,8.3800,226300,1898752.0000,3
2024-09-13,20240913132500000,sh.600000,8.3800,8.4000,8.3700,8.3700,334100,2801584.0000,3
2024-09-13,20240913133000000,sh.600000,8.3700,8.3900,8.3700,8.3700,384100,3217344.0000,3
2024-09-13,20240913133500000,sh.600000,8.3700,8.4000,8.3700,8.4000,422500,3541232.0000,3
2024-09-13,20240913134000000,sh.600000,8.3900,8.4000,8.3800,8.3800,209000,1753120.0000,3
2024-09-13,20240913134500000,sh.600000,8.3800,8.4000,8.3700,8.3900,394000,3303728.0000,3
2024-09-13,20240913135000000,sh.600000,8.3900,8.3900,8.3500,8.3700,840900,7034640.0000,3
2024-09-13,20240913135500000,sh.600000,8.3700,8.3800,8.3500,8.3600,504500,4221152.0000,3
2024-09-13,20240913140000000,sh.600000,8.3600,8.3700,8.3500,8.3500,494900,4135328.0000,3
2024-09-13,20240913140500000,sh.600000,8.3600,8.3600,8.3400,8.3400,714200,5964832.0000,3
2024-09-13,20240913141000000,sh.600000,8.3400,8.3500,8.3300,8.3400,505800,4219792.0000,3
2024-09-13,20240913141500000,sh.600000,8.3500,8.3600,8.3400,8.3500,452600,3779408.0000,3
2024-09-13,20240913142000000,sh.600000,8.3500,8.3600,8.3400,8.3500,645000,5386880.0000,3
2024-09-13,20240913142500000,sh.600000,8.3500,8.3600,8.3400,8.3400,1511100,12620720.0000,3
2024-09-13,20240913143000000,sh.600000,8.3400,8.3500,8.3200,8.3200,1397100,11640432.0000,3
2024-09-13,20240913143500000,sh.600000,8.3400,8.3500,8.3300,8.3300,820800,6843616.0000,3
2024-09-13,20240913144000000,sh.600000,8.3400,8.3500,8.3300,8.3500,484300,4038992.0000,3
2024-09-13,20240913144500000,sh.600000,8.3400,8.3500,8.3400,8.3400,348400,2906336.0000,3
2024-09-13,20240913145000000,sh.600000,8.3400,8.3600,8.3400,8.3500,772000,6447264.0000,3
2024-09-13,20240913145500000,sh.600000,8.3500,8.3600,8.3400,8.3500,1069700,8930640.0000,3
2024-09-13,20240913150000000,sh.600000,8.3500,8.3600,8.3300,8.3500,857700,7160304.0000,3
2024-09-18,20240918093500000,sh.600000,8.3500,8.4400,8.3400,8.4000,1532000,12877337.0000,3
2024-09-18,20240918094000000,sh.600000,8.4200,8.4300,8.3200,8.3300,1159100,9701367.0000,3
2024-09-18,20240918094500000,sh.600000,8.3400,8.3600,8.3300,8.3500,546900,4564852.0000,3
2024-09-18,20240918095000000,sh.600000,8.3500,8.3800,8.3200,8.3300,694300,5792368.0000,3
2024-09-18,20240918095500000,sh.600000,8.3300,8.3400,8.2800,8.2800,524800,4361596.0000,3
2024-09-18,20240918100000000,sh.600000,8.2800,8.3100,8.2700,8.3000,567300,4702440.0000,3
2024-09-18,20240918100500000,sh.600000,8.2900,8.3300,8.2900,8.3200,571600,4749740.0000,3
2024-09-18,20240918101000000,sh.600000,8.3200,8.3300,8.3100,8.3200,371400,3091316.0000,3
2024-09-18,20240918101500000,sh.600000,8.3100,8.3500,8.3100,8.3400,509800,4248064.0000,3
2024-09-18,20240918102000000,sh.600000,8.3400,8.3500,8.3100,8.3300,564600,4705224.0000,3
2024-09-18,20240918102500000,sh.600000,8.3200,8.3500,8.3200,8.3200,343900,2867280.0000,3
2024-09-18,20240918103000000,sh.600000,8.3300,8.3400,8.3100,8.3100,252400,2100536.0000,3
2024-09-18,20240918103500000,sh.600000,8.3100,8.3200,8.3000,8.3200,295100,2452300.0000,3
2024-09-18,20240918104000000,sh.600000,8.3200,8.3400,8.3100,8.3300,265300,2208036.0000,3
2024-09-18,20240918104500000,sh.600000,8.3200,8.3500,8.3100,8.3100,423700,3530352.0000,3
2024-09-18,20240918105000000,sh.600000,8.3100,8.3200,8.3000,8.3000,124600,1035032.0000,3
2024-09-18,20240918105500000,sh.600000,8.3000,8.3200,8.3000,8.3100,290900,2416680.0000,3
2024-09-18,20240918110000000,sh.600000,8.3200,8.3400,8.3100,8.3300,268000,2231184.0000,3
2024-09-18,20240918110500000,sh.600000,8.3400,8.3500,8.3200,8.3400,265700,2215640.0000,3
2024-09-18,20240918111000000,sh.600000,8.3400,8.3400,8.3300,8.3300,173800,1449048.0000,3
2024-09-18,20240918111500000,sh.600000,8.3300,8.3500,8.3200,8.3200,478600,3992096.0000,3
2024-09-18,20240918112000000,sh.600000,8.3300,8.3500,8.3200,8.3400,377400,3145520.0000,3
2024-09-18,20240918112500000,sh.600000,8.3500,8.3600,8.3300,8.3600,424100,3540024.0000,3
2024-09-18,20240918113000000,sh.600000,8.3600,8.3700,8.3500,8.3700,368100,3077168.0000,3
2024-09-18,20240918130500000,sh.600000,8.3700,8.3700,8.3000,8.3000,549900,4578576.0000,3
2024-09-18,20240918131000000,sh.600000,8.3100,8.3100,8.2800,8.2900,532400,4413064.0000,3
2024-09-18,20240918131500000,sh.600000,8.2800,8.2900,8.2700,8.2700,448000,3707488.0000,3
2024-09-18,20240918132000000,sh.600000,8.2800,8.2900,8.2700,8.2700,372600,3084272.0000,3
2024-09-18,20240918132500000,sh.600000,8.2700,8.2800,8.2600,8.2700,340400,2816072.0000,3
2024-09-18,20240918133000000,sh.600000,8.2800,8.3000,8.2700,8.2900,370700,3071304.0000,3
2024-09-18,20240918133500000,sh.600000,8.3000,8.3000,8.2800,8.2900,141200,1169720.0000,3
2024-09-18,20240918134000000,sh.600000,8.2800,8.3100,8.2800,8.2900,390600,3241088.0000,3
